classes;punition;date;motif;heure;eleve_id
4B;Mot dans le carnet;2024-01-26;Agitation en classe, bavardages incessants;;dCJAwmmEVSyTZ-TIRV7p4WmdkPRDLBpZe31YURcCZIY
4B;Devoir supplémentaire;2024-05-27;Agitation en classe, Attitude inadmissible en cours, bavardages incessants, Changement de place sans autorisation, Exclusion;;dCJAwmmEVSyTZ-TIRV7p4WmdkPRDLBpZe31YURcCZIY
4B;Mot dans le carnet;2024-06-05;Agitation en classe, Bavardages incessants. Un grand manque de concentra;;dCJAwmmEVSyTZ-TIRV7p4WmdkPRDLBpZe31YURcCZIY
4B;Mot dans le carnet;2024-06-06;Agitation en classe;;dCJAwmmEVSyTZ-TIRV7p4WmdkPRDLBpZe31YURcCZIY
4A;Mot dans le carnet;2023-09-14;Attitude en classe;;uQ9C1cp8Nih3y9VVwy8HrrAiBlbdfKCv9NF8jUvhU7o
4A;Mot dans le carnet;2024-02-16;bavardage et manque de concentration;;uQ9C1cp8Nih3y9VVwy8HrrAiBlbdfKCv9NF8jUvhU7o
4A;Mot dans le carnet;2024-05-20;nan;;uQ9C1cp8Nih3y9VVwy8HrrAiBlbdfKCv9NF8jUvhU7o
4A;Mot dans le carnet;2024-05-20;bavardage incessant;;uQ9C1cp8Nih3y9VVwy8HrrAiBlbdfKCv9NF8jUvhU7o
4A;Mot dans le carnet;2024-05-21;nan;;uQ9C1cp8Nih3y9VVwy8HrrAiBlbdfKCv9NF8jUvhU7o
4A;Mot dans le carnet;2024-05-27;Jet d' objet en classe;;uQ9C1cp8Nih3y9VVwy8HrrAiBlbdfKCv9NF8jUvhU7o
4A;Mot dans le carnet;2023-09-14;Attitude en classe;;k2yTrUGWC9RWH6rOT5RNrmoOZKAt9YLcXfq-aiCoHSs
4A;Mot dans le carnet;2023-09-19;Absence des cahiers et des fiches.;;k2yTrUGWC9RWH6rOT5RNrmoOZKAt9YLcXfq-aiCoHSs
4A;Mot dans le carnet;2023-09-22;Bavardages incessants ;;k2yTrUGWC9RWH6rOT5RNrmoOZKAt9YLcXfq-aiCoHSs
4A;Retenue;2023-11-13;oublis de carnet;;k2yTrUGWC9RWH6rOT5RNrmoOZKAt9YLcXfq-aiCoHSs
4A;Mot dans le carnet;2023-11-14;bavardage incessant;;k2yTrUGWC9RWH6rOT5RNrmoOZKAt9YLcXfq-aiCoHSs
4A;Mot dans le carnet;2023-11-28;Bavardages incessants, refus de faire son travail . Manque de concentration;;k2yTrUGWC9RWH6rOT5RNrmoOZKAt9YLcXfq-aiCoHSs
4A;Retenue;2023-12-08;Devoirs non faits;;k2yTrUGWC9RWH6rOT5RNrmoOZKAt9YLcXfq-aiCoHSs
4A;Mot dans le carnet;2024-02-23;a insulté son camarade de classe;;k2yTrUGWC9RWH6rOT5RNrmoOZKAt9YLcXfq-aiCoHSs
4A;Retenue;2024-04-18;A manqué de respect à l'enseignante en se déplaçant dans un autre endroit pour parler à son amie sans lui demander la permission. Elle a ensuite répondu et a crié à l'enseignant en disant qu'il n'y avait absolument rien de mal.;;k2yTrUGWC9RWH6rOT5RNrmoOZKAt9YLcXfq-aiCoHSs
4A;Mot dans le carnet;2024-04-22;bavardages incessants;;k2yTrUGWC9RWH6rOT5RNrmoOZKAt9YLcXfq-aiCoHSs
4A;Retenue;2024-04-24;il a seché l'heure de permanence et il jouait le foot au plateau sportif sans autorisation et sans surveillance;;k2yTrUGWC9RWH6rOT5RNrmoOZKAt9YLcXfq-aiCoHSs
4A;Retenue;2024-05-24;Devoirs non faits;;k2yTrUGWC9RWH6rOT5RNrmoOZKAt9YLcXfq-aiCoHSs
2C;Mot dans le carnet;2023-10-05;Agitation en classe, Attitude en classe, attitude inacceptable, bavardage et manque de concentration;;j9xqOaonfprNbn8ruOLNV2sJuoBeg6A_4TXOqcbf14s
2B;Retenue;2023-10-17;utilisation du portable;;7AmfDkOHx7u1cJb9SxsZESG6d_qjo-qs3AU22FKvbwg
2B;Mot dans le carnet;2023-12-11;Attitude en classe;;7AmfDkOHx7u1cJb9SxsZESG6d_qjo-qs3AU22FKvbwg
3C;Retenue;2023-10-17;Utilisation du telephone dans les toilettes;;lVv8bL4TcVwcCKlfdiBBvWGc9pHMEpf3txF1Eml5Fwk
5B;Mot dans le carnet;2023-12-08;Jet d' objet en classe;;2yeURp9if_vJzx86Yk4815AOw721yKxHBVEoyg-iI3I
5B;Mot dans le carnet;2024-06-07;nan;;2yeURp9if_vJzx86Yk4815AOw721yKxHBVEoyg-iI3I
6A;Mot dans le carnet;2024-04-01;Devoirs non faits;;JtHbPBV-Tbd9o9rYxlFWLDpw8BC8Yy8PydUVd9bAkqw
6A;Mot dans le carnet;2023-09-22;Devoirs non faits;;LaRYCt8xNsF6TpzN4Xk4VumCZ4SG3TxMQXF_qpEs9zQ
6A;Devoir supplémentaire;2023-11-16;Agitation;;LaRYCt8xNsF6TpzN4Xk4VumCZ4SG3TxMQXF_qpEs9zQ
6A;Mot dans le carnet;2023-11-17;Attitude en classe;;LaRYCt8xNsF6TpzN4Xk4VumCZ4SG3TxMQXF_qpEs9zQ
6A;Retenue;2023-11-30;attitude inacceptable;;LaRYCt8xNsF6TpzN4Xk4VumCZ4SG3TxMQXF_qpEs9zQ
6A;Mot dans le carnet;2023-12-05;absence de matériel;;LaRYCt8xNsF6TpzN4Xk4VumCZ4SG3TxMQXF_qpEs9zQ
6A;Mot dans le carnet;2023-12-18;Refus des consignes;;LaRYCt8xNsF6TpzN4Xk4VumCZ4SG3TxMQXF_qpEs9zQ
6A;Mot dans le carnet;2024-01-19;Changement de place sans autorisation;;LaRYCt8xNsF6TpzN4Xk4VumCZ4SG3TxMQXF_qpEs9zQ
6A;Retenue;2024-01-25;Il a seché l'heure de permanence et il est  resté au toilettes en cachette;;LaRYCt8xNsF6TpzN4Xk4VumCZ4SG3TxMQXF_qpEs9zQ
6A;Retenue;2024-01-29;bavardage incessant, cumul d'attitudes inacceptables, de retards à l'intérieur de l'école, le non port du masque et le non respect des consignes;;LaRYCt8xNsF6TpzN4Xk4VumCZ4SG3TxMQXF_qpEs9zQ
6A;Retenue;2024-02-12;Agitation;;LaRYCt8xNsF6TpzN4Xk4VumCZ4SG3TxMQXF_qpEs9zQ
6A;Exclusion de cours;2024-03-11;Retard injustifié;13:50:00;LaRYCt8xNsF6TpzN4Xk4VumCZ4SG3TxMQXF_qpEs9zQ
6A;Mot dans le carnet;2024-03-22;nan;;LaRYCt8xNsF6TpzN4Xk4VumCZ4SG3TxMQXF_qpEs9zQ
6A;Mot dans le carnet;2024-03-27;BAVARDAGES;;LaRYCt8xNsF6TpzN4Xk4VumCZ4SG3TxMQXF_qpEs9zQ
6A;Mot dans le carnet;2024-03-29;nan;;LaRYCt8xNsF6TpzN4Xk4VumCZ4SG3TxMQXF_qpEs9zQ
6A;Retenue;2024-04-01;Bavardages incessants ;;LaRYCt8xNsF6TpzN4Xk4VumCZ4SG3TxMQXF_qpEs9zQ
6A;Mot dans le carnet;2024-04-05;Bavardages incessants ;;LaRYCt8xNsF6TpzN4Xk4VumCZ4SG3TxMQXF_qpEs9zQ
6A;Mot dans le carnet;2024-04-05;nan;;LaRYCt8xNsF6TpzN4Xk4VumCZ4SG3TxMQXF_qpEs9zQ
6A;Mot dans le carnet;2024-04-15;Bavardages incessants ;;LaRYCt8xNsF6TpzN4Xk4VumCZ4SG3TxMQXF_qpEs9zQ
6A;Retenue;2024-04-22;Devoirs non faits;;LaRYCt8xNsF6TpzN4Xk4VumCZ4SG3TxMQXF_qpEs9zQ
6A;Retenue;2024-04-25;dégradation du matériel;;LaRYCt8xNsF6TpzN4Xk4VumCZ4SG3TxMQXF_qpEs9zQ
4C;Mot dans le carnet;2023-09-11;travail non fait;;qAfoydyY9Xqua0T6ynbW3tBczMyS0xXcbcLEa8s6i8E
4C;Retenue;2024-01-15;Perturbe le cours de façon répétée malgrè les avertissements du professeur;;qAfoydyY9Xqua0T6ynbW3tBczMyS0xXcbcLEa8s6i8E
4C;Retenue;2024-01-18;Bavardages incessants comme d'habitude. Un grand manque de concentration. manque de carnet. Perturbation du cours;;qAfoydyY9Xqua0T6ynbW3tBczMyS0xXcbcLEa8s6i8E
4C;Devoir supplémentaire;2024-01-22;attitude inacceptable, bavardage et manque de concentration, non respect des règles de vie de classe;;qAfoydyY9Xqua0T6ynbW3tBczMyS0xXcbcLEa8s6i8E
4C;Retenue;2024-01-24;Utilisation de télèphone;;qAfoydyY9Xqua0T6ynbW3tBczMyS0xXcbcLEa8s6i8E
4C;Mot dans le carnet;2024-01-29;Comportement inacceptable en classe;;qAfoydyY9Xqua0T6ynbW3tBczMyS0xXcbcLEa8s6i8E
4C;Mot dans le carnet;2024-01-31;Agitation en classe, Bavardages incessants ;;qAfoydyY9Xqua0T6ynbW3tBczMyS0xXcbcLEa8s6i8E
4C;Retenue;2024-01-31;Bavardages et manque de concentration.;;qAfoydyY9Xqua0T6ynbW3tBczMyS0xXcbcLEa8s6i8E
4C;Retenue;2024-02-02;Devoirs non faits;;qAfoydyY9Xqua0T6ynbW3tBczMyS0xXcbcLEa8s6i8E
4C;Mot dans le carnet;2024-02-05;attitude inacceptable;;qAfoydyY9Xqua0T6ynbW3tBczMyS0xXcbcLEa8s6i8E
4C;Retenue;2024-03-15;Tricherie;;qAfoydyY9Xqua0T6ynbW3tBczMyS0xXcbcLEa8s6i8E
4C;Retenue;2024-03-18;Bavardage incessant et manque de respect dans la classe, Jet d' objet en classe;;qAfoydyY9Xqua0T6ynbW3tBczMyS0xXcbcLEa8s6i8E
4C;Mot dans le carnet;2024-03-26;Bavardages et manque de concentration.;;qAfoydyY9Xqua0T6ynbW3tBczMyS0xXcbcLEa8s6i8E
4C;Retenue;2024-04-15;attitude inacceptable;;qAfoydyY9Xqua0T6ynbW3tBczMyS0xXcbcLEa8s6i8E
4C;Mot dans le carnet;2024-04-25;Devoirs non faits;;qAfoydyY9Xqua0T6ynbW3tBczMyS0xXcbcLEa8s6i8E
4C;Retenue;2024-05-17;attitude inacceptable;;qAfoydyY9Xqua0T6ynbW3tBczMyS0xXcbcLEa8s6i8E
4C;Retenue;2024-05-24;utilisation du portable;;qAfoydyY9Xqua0T6ynbW3tBczMyS0xXcbcLEa8s6i8E
4C;Exclusion de cours;2024-06-10;ATTITUDE INACCEPTABLE EN CLASSE ENVERS LE PROFESSEUR, insolence;08:00:00;qAfoydyY9Xqua0T6ynbW3tBczMyS0xXcbcLEa8s6i8E
2C;Exclusion de cours;2023-10-11;absence de matériel;09:00:00;PZ1Lr9qfkxiZGw1pol46TtgXQhuPQY3VBAGfmXb618M
2C;Retenue;2023-10-17;nan;;PZ1Lr9qfkxiZGw1pol46TtgXQhuPQY3VBAGfmXb618M
2C;Exclusion de cours;2023-11-09;Attitude en classe;15:00:00;PZ1Lr9qfkxiZGw1pol46TtgXQhuPQY3VBAGfmXb618M
2C;Retenue;2024-04-03;Utilisation de telephone;;PZ1Lr9qfkxiZGw1pol46TtgXQhuPQY3VBAGfmXb618M
6C;Mot dans le carnet;2024-01-08;bavardage et manque de concentration;;J8SKUpngjyP4L5ZU4HpEnyTkniVE1gXeXB6HUDsvInY
6C;Mot dans le carnet;2024-01-26;nan;;J8SKUpngjyP4L5ZU4HpEnyTkniVE1gXeXB6HUDsvInY
6C;Exclusion de cours;2024-02-02;nan;08:00:00;J8SKUpngjyP4L5ZU4HpEnyTkniVE1gXeXB6HUDsvInY
6C;Retenue;2024-02-16;nan;;J8SKUpngjyP4L5ZU4HpEnyTkniVE1gXeXB6HUDsvInY
6C;Mot dans le carnet;2024-02-19;Attitude inadmissible en cours;;J8SKUpngjyP4L5ZU4HpEnyTkniVE1gXeXB6HUDsvInY
6C;Mot dans le carnet;2024-03-18;bavardage et manque de concentration;;J8SKUpngjyP4L5ZU4HpEnyTkniVE1gXeXB6HUDsvInY
6C;Mot dans le carnet;2024-03-19;Bavardages incessants ;;J8SKUpngjyP4L5ZU4HpEnyTkniVE1gXeXB6HUDsvInY
6C;Retenue;2024-04-01;utilisation de la tablette dans la cour;;J8SKUpngjyP4L5ZU4HpEnyTkniVE1gXeXB6HUDsvInY
6C;Exclusion de cours;2024-05-20;Retard injustifié;15:00:00;J8SKUpngjyP4L5ZU4HpEnyTkniVE1gXeXB6HUDsvInY
6C;Mot dans le carnet;2024-05-27;bavardage et manque de concentration;;J8SKUpngjyP4L5ZU4HpEnyTkniVE1gXeXB6HUDsvInY
3C;Mot dans le carnet;2023-12-12;Attitude en classe;;YN0jMAG-comB0Kye5oA2857WWoeAIYWd64OYXuLOk-0
1B/C;Mot dans le carnet;2023-12-05;Bavardage incessant et manque de respect dans la classe;;M6LucN9TRo6gtjkbeFD4CEYMQr0B0ibJ6IYf5EcMqpM
2A;Mot dans le carnet;2023-10-09;Tricherie;;N7r49iPw-8QGenuIsY23jv0G1o-3MAIrZCuo2xhFVBg
2A;Retenue;2023-12-14;Utilisation de télèphone;;N7r49iPw-8QGenuIsY23jv0G1o-3MAIrZCuo2xhFVBg
2A;Retenue;2024-03-18;Comportement inacceptable en classe;;N7r49iPw-8QGenuIsY23jv0G1o-3MAIrZCuo2xhFVBg
2A;Devoir supplémentaire;2024-03-26;travail non fait;;N7r49iPw-8QGenuIsY23jv0G1o-3MAIrZCuo2xhFVBg
2A;Mot dans le carnet;2024-05-14;Attitude en classe;;N7r49iPw-8QGenuIsY23jv0G1o-3MAIrZCuo2xhFVBg
4B;Mot dans le carnet;2023-11-14;bavardage et manque de concentration;;NEWlSarJFHHW66l-4010bsWqOAR4efc_rhYWFDX_ojY
4B;Mot dans le carnet;2023-12-15;Attitude en classe;;NEWlSarJFHHW66l-4010bsWqOAR4efc_rhYWFDX_ojY
4B;Mot dans le carnet;2023-12-18;Agitation en classe, bavardage et manque de concentration;;NEWlSarJFHHW66l-4010bsWqOAR4efc_rhYWFDX_ojY
4B;Mot dans le carnet;2024-01-12;Bavardages incessants comme d'habitude. Un grand manque de concentration. manque de carnet. Perturbation du cours;;NEWlSarJFHHW66l-4010bsWqOAR4efc_rhYWFDX_ojY
4B;Mot dans le carnet;2024-01-22;bavardage et manque de concentration;;NEWlSarJFHHW66l-4010bsWqOAR4efc_rhYWFDX_ojY
4B;Mot dans le carnet;2024-01-29;cumul d'attitude inadmissible,manque de respect,insolence.;;NEWlSarJFHHW66l-4010bsWqOAR4efc_rhYWFDX_ojY
4B;Mot dans le carnet;2024-02-09;nan;;NEWlSarJFHHW66l-4010bsWqOAR4efc_rhYWFDX_ojY
4B;Mot dans le carnet;2024-02-16;bavardage et manque de concentration;;NEWlSarJFHHW66l-4010bsWqOAR4efc_rhYWFDX_ojY
4B;Mot dans le carnet;2024-03-15;ATTITUDE INACCEPTABLE ENVERS L'ENSEIGNANT ET MANQUE DE RESPECT;;NEWlSarJFHHW66l-4010bsWqOAR4efc_rhYWFDX_ojY
4B;Mot dans le carnet;2024-03-28;Comportement inacceptable en classe;;NEWlSarJFHHW66l-4010bsWqOAR4efc_rhYWFDX_ojY
4B;Mot dans le carnet;2024-04-19;oublie constant de matériel;;NEWlSarJFHHW66l-4010bsWqOAR4efc_rhYWFDX_ojY
4B;Mot dans le carnet;2024-04-26;Agitation en classe, bavardage et manque de concentration, Perturbe le cours de façon répétée malgrè les avertissements du professeur;;NEWlSarJFHHW66l-4010bsWqOAR4efc_rhYWFDX_ojY
4B;Mot dans le carnet;2024-05-13;BAVARDAGES;;NEWlSarJFHHW66l-4010bsWqOAR4efc_rhYWFDX_ojY
4B;Devoir supplémentaire;2024-05-15;Attitude inadmissible en cours, bavardage et manque de concentration, Perturbe le cours de façon répétée malgrè les avertissements du professeur;;NEWlSarJFHHW66l-4010bsWqOAR4efc_rhYWFDX_ojY
4B;Mot dans le carnet;2024-05-16;attitude inacceptable;;NEWlSarJFHHW66l-4010bsWqOAR4efc_rhYWFDX_ojY
4B;Mot dans le carnet;2024-05-17;Bavardage incessant et manque de respect dans la classe;;NEWlSarJFHHW66l-4010bsWqOAR4efc_rhYWFDX_ojY
4B;Mot dans le carnet;2024-05-20;Il a jeté;;NEWlSarJFHHW66l-4010bsWqOAR4efc_rhYWFDX_ojY
4B;Devoir supplémentaire;2024-05-22;Agitation en classe, bavardage et manque de concentration, Perturbe le cours par d'incessants bavardages malgré les appels à l'orde répétés du professeur.;;NEWlSarJFHHW66l-4010bsWqOAR4efc_rhYWFDX_ojY
4B;Retenue;2024-05-22;défaut de carnet;;NEWlSarJFHHW66l-4010bsWqOAR4efc_rhYWFDX_ojY
4B;Mot dans le carnet;2024-05-27;ATTITUDE INACCEPTABLE ENVERS L'ENSEIGNANT ET MANQUE DE RESPECT, bavardage et manque de concentration, Utilisation du téléphone en classe, pendant le cours.;;NEWlSarJFHHW66l-4010bsWqOAR4efc_rhYWFDX_ojY
4B;Exclusion de cours;2024-05-31;Bavardages incessants ;13:50:00;NEWlSarJFHHW66l-4010bsWqOAR4efc_rhYWFDX_ojY
4B;Mot dans le carnet;2024-06-03;Attitude en classe;;NEWlSarJFHHW66l-4010bsWqOAR4efc_rhYWFDX_ojY
4B;Mot dans le carnet;2024-06-05;Agitation en classe, bavardages incessants, Chante en classe et manque de concentration;;NEWlSarJFHHW66l-4010bsWqOAR4efc_rhYWFDX_ojY
4B;Mot dans le carnet;2024-06-06;manque de motivation et de travail;;NEWlSarJFHHW66l-4010bsWqOAR4efc_rhYWFDX_ojY
4B;Mot dans le carnet;2024-06-07;nan;;NEWlSarJFHHW66l-4010bsWqOAR4efc_rhYWFDX_ojY
4B;Exclusion de cours;2024-06-10;Comportement inacceptable en classe;11:10:00;NEWlSarJFHHW66l-4010bsWqOAR4efc_rhYWFDX_ojY
4B;Exclusion de cours;2024-06-13;Absences non justifié;09:00:00;NEWlSarJFHHW66l-4010bsWqOAR4efc_rhYWFDX_ojY
4B;Mot dans le carnet;2024-06-14;nan;;NEWlSarJFHHW66l-4010bsWqOAR4efc_rhYWFDX_ojY
4B;Exclusion de cours;2024-06-14;oublie constant de matériel;13:50:00;NEWlSarJFHHW66l-4010bsWqOAR4efc_rhYWFDX_ojY
4B;Mot dans le carnet;2024-06-14;Bruit et cri en entrant en classe;;NEWlSarJFHHW66l-4010bsWqOAR4efc_rhYWFDX_ojY
2A;Devoir supplémentaire;2023-10-10;nan;;pthtzlDHnLgzQ03agD3I-pZWJaV4f5u2XgUGRneh2vs
2A;Mot dans le carnet;2023-12-21;insolence;;pthtzlDHnLgzQ03agD3I-pZWJaV4f5u2XgUGRneh2vs
3A;Mot dans le carnet;2023-09-15;manque de concentration;;LEPFmmhIqZ8XHeZnmNIh0r0n8C50Mg3zfhp6g9PLgb8
3A;Mot dans le carnet;2023-10-19;nan;;LEPFmmhIqZ8XHeZnmNIh0r0n8C50Mg3zfhp6g9PLgb8
Terminale;Devoir supplémentaire;2024-03-13;nan;;P8aN-xiAOgza2Ov6JH-Kc28U1sF5fhsdreSp-Mq0YP4
6A;Mot dans le carnet;2023-09-11;bavardage incessant;;U7vfpLY888o43efm7i4OCc_KfaN6AGGUxLTexQWxOws
6A;Exclusion de cours;2023-10-02;Attitude en classe, bavardage et manque de concentration;15:00:00;U7vfpLY888o43efm7i4OCc_KfaN6AGGUxLTexQWxOws
6A;Retenue;2023-10-03;Agitation en classe, bavardage incessant;;U7vfpLY888o43efm7i4OCc_KfaN6AGGUxLTexQWxOws
6A;Mot dans le carnet;2023-10-13;Attitude inadmissible en cours;;U7vfpLY888o43efm7i4OCc_KfaN6AGGUxLTexQWxOws
6A;Mot dans le carnet;2023-10-16;Changement de place sans autorisation;;U7vfpLY888o43efm7i4OCc_KfaN6AGGUxLTexQWxOws
6A;Mot dans le carnet;2023-11-10;Attitude en classe;;U7vfpLY888o43efm7i4OCc_KfaN6AGGUxLTexQWxOws
6A;Mot dans le carnet;2023-11-17;Attitude en classe;;U7vfpLY888o43efm7i4OCc_KfaN6AGGUxLTexQWxOws
6A;Retenue;2023-12-11;attitude inacceptable;;U7vfpLY888o43efm7i4OCc_KfaN6AGGUxLTexQWxOws
6A;Retenue;2024-01-09;Rhita a proféré des insultes envers Nisrine devant le professeur et a élevé la voix de manière perturbatrice.;;U7vfpLY888o43efm7i4OCc_KfaN6AGGUxLTexQWxOws
6A;Mot dans le carnet;2024-01-19;nan;;U7vfpLY888o43efm7i4OCc_KfaN6AGGUxLTexQWxOws
6A;Retenue;2024-01-25;Il a seché l'heure de permanence et il est  resté au toilettes en cachette;;U7vfpLY888o43efm7i4OCc_KfaN6AGGUxLTexQWxOws
6A;Mot dans le carnet;2024-01-29;nan;;U7vfpLY888o43efm7i4OCc_KfaN6AGGUxLTexQWxOws
6A;Mot dans le carnet;2024-02-02;nan;;U7vfpLY888o43efm7i4OCc_KfaN6AGGUxLTexQWxOws
6A;Retenue;2024-02-12;bavardages incessants, Matériel manquant;;U7vfpLY888o43efm7i4OCc_KfaN6AGGUxLTexQWxOws
6A;Exclusion de cours;2024-02-16;Arrive souvent en classe en retard ;15:00:00;U7vfpLY888o43efm7i4OCc_KfaN6AGGUxLTexQWxOws
6A;Exclusion de cours;2024-03-11;Retard injustifié;13:50:00;U7vfpLY888o43efm7i4OCc_KfaN6AGGUxLTexQWxOws
6A;Devoir supplémentaire;2024-03-15;Attitude en classe;;U7vfpLY888o43efm7i4OCc_KfaN6AGGUxLTexQWxOws
6A;Retenue;2024-03-18;a insulté son camarade de classe, Attitude inacceptable en classe envers le professeur et les autres., bavardage incessant;;U7vfpLY888o43efm7i4OCc_KfaN6AGGUxLTexQWxOws
6A;Mot dans le carnet;2024-03-27;Attitude en classe;;U7vfpLY888o43efm7i4OCc_KfaN6AGGUxLTexQWxOws
6A;Mot dans le carnet;2024-03-29;nan;;U7vfpLY888o43efm7i4OCc_KfaN6AGGUxLTexQWxOws
6A;Mot dans le carnet;2024-04-01;Devoirs non faits;;U7vfpLY888o43efm7i4OCc_KfaN6AGGUxLTexQWxOws
6A;Retenue;2024-04-05;Agitation, Attitude en classe;;U7vfpLY888o43efm7i4OCc_KfaN6AGGUxLTexQWxOws
6A;Mot dans le carnet;2024-04-05;Attitude en classe;;U7vfpLY888o43efm7i4OCc_KfaN6AGGUxLTexQWxOws
6A;Mot dans le carnet;2024-04-05;attitude inacceptable;;U7vfpLY888o43efm7i4OCc_KfaN6AGGUxLTexQWxOws
6A;Mot dans le carnet;2024-05-31;Attitude en classe;;U7vfpLY888o43efm7i4OCc_KfaN6AGGUxLTexQWxOws
3B;Retenue;2023-09-15;geste deplacé;;UyVj9DpgwED5FqkywIkDQX5UIOsbpBYzHDNU-oeD2n4
3B;Retenue;2023-10-09;bavardage et manque de concentration;;UyVj9DpgwED5FqkywIkDQX5UIOsbpBYzHDNU-oeD2n4
3B;Mot dans le carnet;2023-11-24;Attitude en classe;;UyVj9DpgwED5FqkywIkDQX5UIOsbpBYzHDNU-oeD2n4
3B;Retenue;2024-03-11;evaluation anulée;;UyVj9DpgwED5FqkywIkDQX5UIOsbpBYzHDNU-oeD2n4
3B;Mot dans le carnet;2024-05-15;bavardage;;UyVj9DpgwED5FqkywIkDQX5UIOsbpBYzHDNU-oeD2n4
3B;Mot dans le carnet;2024-05-16;Agitation en classe;;UyVj9DpgwED5FqkywIkDQX5UIOsbpBYzHDNU-oeD2n4
3B;Retenue;2024-05-30;Insulte;;UyVj9DpgwED5FqkywIkDQX5UIOsbpBYzHDNU-oeD2n4
3B;Mot dans le carnet;2024-06-03;bavardage;;UyVj9DpgwED5FqkywIkDQX5UIOsbpBYzHDNU-oeD2n4
3B;Mot dans le carnet;2024-06-05;Bavardages incessants ;;UyVj9DpgwED5FqkywIkDQX5UIOsbpBYzHDNU-oeD2n4
5A;Mot dans le carnet;2023-09-19;Bavardages incessants ;;i1biy720AIiWqT_EBuBoDCzyPJy4FQW-2PmuaaG-USs
5A;Mot dans le carnet;2023-11-20;Bavardage incessant et manque de respect dans la classe;;i1biy720AIiWqT_EBuBoDCzyPJy4FQW-2PmuaaG-USs
5A;Mot dans le carnet;2024-01-29;Attitude en classe;;i1biy720AIiWqT_EBuBoDCzyPJy4FQW-2PmuaaG-USs
5A;Mot dans le carnet;2024-03-15;Agitation;;i1biy720AIiWqT_EBuBoDCzyPJy4FQW-2PmuaaG-USs
5A;Retenue;2024-03-18;insolance;;i1biy720AIiWqT_EBuBoDCzyPJy4FQW-2PmuaaG-USs
5A;Mot dans le carnet;2024-04-25;atittude inadmissible,cumul d'insultes envers ses camarades de classe;;i1biy720AIiWqT_EBuBoDCzyPJy4FQW-2PmuaaG-USs
6A;Retenue;2024-01-12;Utilisation de télèphone;;3xTRDtaxmqa7A8E93B6IP7iRFjZL0kCrnDykSNFgkko
2A;Mot dans le carnet;2023-10-05;Attitude en classe;;rNNP2RvTA59TYD2zD9UpY_D0SJQCx-4jyAbywAkIx8g
2A;Exclusion de cours;2023-12-14;Bavardages et manque de concentration.;12:50:00;rNNP2RvTA59TYD2zD9UpY_D0SJQCx-4jyAbywAkIx8g
2A;Mot dans le carnet;2024-01-23;Bavardages incessants ;;rNNP2RvTA59TYD2zD9UpY_D0SJQCx-4jyAbywAkIx8g
3B;Retenue;2023-11-21;Utilisation de télèphone;;-OkZeSv6U0rENPbrPFI-ilsq-LEByjKn6QzZLlNb2xI
3B;Retenue;2023-12-11;travail non fait;;-OkZeSv6U0rENPbrPFI-ilsq-LEByjKn6QzZLlNb2xI
3B;Mot dans le carnet;2024-01-22;Attitude en classe, BAVARDAGES;;-OkZeSv6U0rENPbrPFI-ilsq-LEByjKn6QzZLlNb2xI
5A;Mot dans le carnet;2023-09-18;bavardage incessant;;NyYsao1DYGPJ3wR4n1GSv4xZObLqBJx0WAgMft_KBrc
5A;Mot dans le carnet;2023-09-22;Attitude en classe;;NyYsao1DYGPJ3wR4n1GSv4xZObLqBJx0WAgMft_KBrc
5A;Mot dans le carnet;2023-09-25;Attitude en classe;;NyYsao1DYGPJ3wR4n1GSv4xZObLqBJx0WAgMft_KBrc
5A;Mot dans le carnet;2023-10-09;Devoirs non faits;;NyYsao1DYGPJ3wR4n1GSv4xZObLqBJx0WAgMft_KBrc
5A;Mot dans le carnet;2023-10-16;bavardage incessant;;NyYsao1DYGPJ3wR4n1GSv4xZObLqBJx0WAgMft_KBrc
5A;Retenue;2023-10-20;Attitude en classe;;NyYsao1DYGPJ3wR4n1GSv4xZObLqBJx0WAgMft_KBrc
5A;Mot dans le carnet;2023-11-13;travail non fait;;NyYsao1DYGPJ3wR4n1GSv4xZObLqBJx0WAgMft_KBrc
5A;Mot dans le carnet;2023-11-24;Attitude en classe;;NyYsao1DYGPJ3wR4n1GSv4xZObLqBJx0WAgMft_KBrc
5A;Mot dans le carnet;2024-02-01;oublie constant de matériel;;NyYsao1DYGPJ3wR4n1GSv4xZObLqBJx0WAgMft_KBrc
5A;Mot dans le carnet;2024-02-19;bavardage incessant, Devoirs non faits;;NyYsao1DYGPJ3wR4n1GSv4xZObLqBJx0WAgMft_KBrc
5A;Mot dans le carnet;2024-03-21;oublie constant de matériel;;NyYsao1DYGPJ3wR4n1GSv4xZObLqBJx0WAgMft_KBrc
3B;Mot dans le carnet;2024-02-06;nan;;iE-N2ESkF9Pz1KpfhbxhNjEdMg1dVX8tJL4a_eO3F6M
3B;Mot dans le carnet;2024-02-19;bavardages incessants;;iE-N2ESkF9Pz1KpfhbxhNjEdMg1dVX8tJL4a_eO3F6M
3B;Mot dans le carnet;2024-03-19;Bavardages incessants.Manque de concentration. Défaut de carnet;;iE-N2ESkF9Pz1KpfhbxhNjEdMg1dVX8tJL4a_eO3F6M
3B;Mot dans le carnet;2024-05-15;bavardages incessants;;iE-N2ESkF9Pz1KpfhbxhNjEdMg1dVX8tJL4a_eO3F6M
