classes;motif;regle;date;heure;duree;eleve_id
5A;SANS EXCUSES;O;2023-11-23;12:50:00;00:05:00;tvdU4GwEf36ov1VvqksfqR0Bq2f7DFTFhBBqogO1g_w
5A;SANS EXCUSES;O;2023-12-04;15:00:00;00:05:00;tvdU4GwEf36ov1VvqksfqR0Bq2f7DFTFhBBqogO1g_w
5A;SANS EXCUSES;O;2024-03-28;12:50:00;00:05:00;tvdU4GwEf36ov1VvqksfqR0Bq2f7DFTFhBBqogO1g_w
5A;SANS EXCUSES;O;2024-04-01;16:00:00;00:05:00;tvdU4GwEf36ov1VvqksfqR0Bq2f7DFTFhBBqogO1g_w
3A;SANS EXCUSES;O;2023-09-07;09:00:00;00:05:00;LEPFmmhIqZ8XHeZnmNIh0r0n8C50Mg3zfhp6g9PLgb8
3A;PROBLEME DE TRANSPORT;O;2023-09-20;08:00:00;00:05:00;LEPFmmhIqZ8XHeZnmNIh0r0n8C50Mg3zfhp6g9PLgb8
3A;PROBLEME DE TRANSPORT;O;2023-09-22;08:00:00;00:05:00;LEPFmmhIqZ8XHeZnmNIh0r0n8C50Mg3zfhp6g9PLgb8
3A;PROBLEME DE TRANSPORT;O;2023-11-14;08:00:00;00:05:00;LEPFmmhIqZ8XHeZnmNIh0r0n8C50Mg3zfhp6g9PLgb8
3A;SANS EXCUSES;O;2023-11-24;15:00:00;00:05:00;LEPFmmhIqZ8XHeZnmNIh0r0n8C50Mg3zfhp6g9PLgb8
3A;PROBLEME DE TRANSPORT;O;2023-11-28;08:00:00;00:05:00;LEPFmmhIqZ8XHeZnmNIh0r0n8C50Mg3zfhp6g9PLgb8
3A;PROBLEME DE TRANSPORT;O;2024-01-17;08:00:00;00:05:00;LEPFmmhIqZ8XHeZnmNIh0r0n8C50Mg3zfhp6g9PLgb8
3A;PROBLEME DE TRANSPORT;O;2024-01-23;08:00:00;00:05:00;LEPFmmhIqZ8XHeZnmNIh0r0n8C50Mg3zfhp6g9PLgb8
3A;SANS EXCUSES;O;2024-01-23;12:50:00;00:05:00;LEPFmmhIqZ8XHeZnmNIh0r0n8C50Mg3zfhp6g9PLgb8
3A;PROBLEME DE TRANSPORT;O;2024-01-31;08:00:00;00:05:00;LEPFmmhIqZ8XHeZnmNIh0r0n8C50Mg3zfhp6g9PLgb8
3A;PROBLEME DE TRANSPORT;O;2024-03-22;08:00:00;00:05:00;LEPFmmhIqZ8XHeZnmNIh0r0n8C50Mg3zfhp6g9PLgb8
3A;PROBLEME DE TRANSPORT;O;2024-04-03;08:00:00;00:05:00;LEPFmmhIqZ8XHeZnmNIh0r0n8C50Mg3zfhp6g9PLgb8
3A;SANS EXCUSES;O;2024-04-18;10:10:00;00:05:00;LEPFmmhIqZ8XHeZnmNIh0r0n8C50Mg3zfhp6g9PLgb8
3A;Motif non encore connu;N;2024-06-10;13:50:00;00:21:00;LEPFmmhIqZ8XHeZnmNIh0r0n8C50Mg3zfhp6g9PLgb8
3A;Motif non encore connu;N;2024-06-25;08:00:00;00:20:00;LEPFmmhIqZ8XHeZnmNIh0r0n8C50Mg3zfhp6g9PLgb8
Terminale;PROBLEME DE TRANSPORT;O;2023-09-22;08:00:00;00:05:00;P8aN-xiAOgza2Ov6JH-Kc28U1sF5fhsdreSp-Mq0YP4
Terminale;PROBLEME DE TRANSPORT;O;2023-11-14;08:00:00;00:05:00;P8aN-xiAOgza2Ov6JH-Kc28U1sF5fhsdreSp-Mq0YP4
Terminale;SANS EXCUSES;O;2023-11-15;15:00:00;00:05:00;P8aN-xiAOgza2Ov6JH-Kc28U1sF5fhsdreSp-Mq0YP4
Terminale;PROBLEME DE TRANSPORT;O;2023-11-28;08:00:00;00:05:00;P8aN-xiAOgza2Ov6JH-Kc28U1sF5fhsdreSp-Mq0YP4
Terminale;PROBLEME DE TRANSPORT;O;2023-12-12;08:00:00;00:05:00;P8aN-xiAOgza2Ov6JH-Kc28U1sF5fhsdreSp-Mq0YP4
Terminale;PROBLEME DE TRANSPORT;O;2024-01-09;08:00:00;00:05:00;P8aN-xiAOgza2Ov6JH-Kc28U1sF5fhsdreSp-Mq0YP4
Terminale;PROBLEME DE TRANSPORT;O;2024-01-15;08:00:00;00:05:00;P8aN-xiAOgza2Ov6JH-Kc28U1sF5fhsdreSp-Mq0YP4
Terminale;PROBLEME DE TRANSPORT;O;2024-01-22;08:00:00;00:05:00;P8aN-xiAOgza2Ov6JH-Kc28U1sF5fhsdreSp-Mq0YP4
Terminale;PROBLEME DE TRANSPORT;O;2024-01-23;08:00:00;00:05:00;P8aN-xiAOgza2Ov6JH-Kc28U1sF5fhsdreSp-Mq0YP4
Terminale;PROBLEME DE TRANSPORT;O;2024-01-30;08:00:00;00:05:00;P8aN-xiAOgza2Ov6JH-Kc28U1sF5fhsdreSp-Mq0YP4
Terminale;PROBLEME DE TRANSPORT;O;2024-02-13;08:00:00;00:05:00;P8aN-xiAOgza2Ov6JH-Kc28U1sF5fhsdreSp-Mq0YP4
Terminale;PROBLEME DE TRANSPORT;O;2024-02-20;08:00:00;00:05:00;P8aN-xiAOgza2Ov6JH-Kc28U1sF5fhsdreSp-Mq0YP4
Terminale;PROBLEME DE TRANSPORT;O;2024-03-12;08:00:00;00:05:00;P8aN-xiAOgza2Ov6JH-Kc28U1sF5fhsdreSp-Mq0YP4
Terminale;PROBLEME DE TRANSPORT;O;2024-03-19;08:00:00;00:05:00;P8aN-xiAOgza2Ov6JH-Kc28U1sF5fhsdreSp-Mq0YP4
Terminale;PROBLEME DE TRANSPORT;O;2024-03-25;08:00:00;00:05:00;P8aN-xiAOgza2Ov6JH-Kc28U1sF5fhsdreSp-Mq0YP4
Terminale;PROBLEME DE TRANSPORT;O;2024-03-26;08:00:00;00:05:00;P8aN-xiAOgza2Ov6JH-Kc28U1sF5fhsdreSp-Mq0YP4
Terminale;PROBLEME DE TRANSPORT;O;2024-04-01;08:00:00;00:05:00;P8aN-xiAOgza2Ov6JH-Kc28U1sF5fhsdreSp-Mq0YP4
Terminale;PROBLEME DE TRANSPORT;O;2024-04-02;08:00:00;00:05:00;P8aN-xiAOgza2Ov6JH-Kc28U1sF5fhsdreSp-Mq0YP4
Terminale;PROBLEME DE TRANSPORT;O;2024-04-04;08:00:00;00:05:00;P8aN-xiAOgza2Ov6JH-Kc28U1sF5fhsdreSp-Mq0YP4
Terminale;PROBLEME DE TRANSPORT;O;2024-04-15;08:00:00;00:05:00;P8aN-xiAOgza2Ov6JH-Kc28U1sF5fhsdreSp-Mq0YP4
Terminale;PROBLEME DE TRANSPORT;O;2024-04-16;08:00:00;00:05:00;P8aN-xiAOgza2Ov6JH-Kc28U1sF5fhsdreSp-Mq0YP4
Terminale;PROBLEME DE TRANSPORT;O;2024-05-14;08:00:00;00:05:00;P8aN-xiAOgza2Ov6JH-Kc28U1sF5fhsdreSp-Mq0YP4
6A;SANS EXCUSES;O;2023-09-14;12:50:00;00:05:00;U7vfpLY888o43efm7i4OCc_KfaN6AGGUxLTexQWxOws
6A;SANS EXCUSES;O;2023-09-19;12:50:00;00:05:00;U7vfpLY888o43efm7i4OCc_KfaN6AGGUxLTexQWxOws
6A;RDV MEDECIN SCOLAIRE;O;2023-10-16;13:50:00;00:05:00;U7vfpLY888o43efm7i4OCc_KfaN6AGGUxLTexQWxOws
6A;SANS EXCUSES;O;2023-10-17;15:00:00;00:05:00;U7vfpLY888o43efm7i4OCc_KfaN6AGGUxLTexQWxOws
6A;SANS EXCUSES;O;2023-11-13;13:50:00;00:05:00;U7vfpLY888o43efm7i4OCc_KfaN6AGGUxLTexQWxOws
6A;SANS EXCUSES;O;2023-11-16;15:00:00;00:05:00;U7vfpLY888o43efm7i4OCc_KfaN6AGGUxLTexQWxOws
6A;SANS EXCUSES;O;2023-11-27;13:50:00;00:05:00;U7vfpLY888o43efm7i4OCc_KfaN6AGGUxLTexQWxOws
6A;SANS EXCUSES;O;2023-12-01;13:50:00;00:05:00;U7vfpLY888o43efm7i4OCc_KfaN6AGGUxLTexQWxOws
6A;SANS EXCUSES;O;2023-12-05;10:10:00;00:05:00;U7vfpLY888o43efm7i4OCc_KfaN6AGGUxLTexQWxOws
6A;SANS EXCUSES;O;2023-12-12;10:10:00;00:05:00;U7vfpLY888o43efm7i4OCc_KfaN6AGGUxLTexQWxOws
6A;PROBLEME DE TRANSPORT;O;2024-01-29;08:00:00;00:05:00;U7vfpLY888o43efm7i4OCc_KfaN6AGGUxLTexQWxOws
6A;SANS EXCUSES;O;2024-02-05;13:50:00;00:05:00;U7vfpLY888o43efm7i4OCc_KfaN6AGGUxLTexQWxOws
6A;SANS EXCUSES;O;2024-03-11;13:50:00;00:05:00;U7vfpLY888o43efm7i4OCc_KfaN6AGGUxLTexQWxOws
6A;SANS EXCUSES;O;2024-03-25;13:50:00;00:05:00;U7vfpLY888o43efm7i4OCc_KfaN6AGGUxLTexQWxOws
3B;PROBLEME DE TRANSPORT;O;2023-11-16;08:00:00;00:05:00;UyVj9DpgwED5FqkywIkDQX5UIOsbpBYzHDNU-oeD2n4
3B;SANS EXCUSES;O;2024-02-19;15:00:00;00:05:00;UyVj9DpgwED5FqkywIkDQX5UIOsbpBYzHDNU-oeD2n4
3B;SANS EXCUSES;O;2024-03-25;13:50:00;00:05:00;UyVj9DpgwED5FqkywIkDQX5UIOsbpBYzHDNU-oeD2n4
6C;SANS EXCUSES;O;2024-04-24;11:10:00;00:05:00;B6DBdX_nY0_KkWePDdzQ4Ya2Dxxrx2Rw0shZP8ZKy34
5A;SANS EXCUSES;O;2023-09-08;15:00:00;00:05:00;i1biy720AIiWqT_EBuBoDCzyPJy4FQW-2PmuaaG-USs
5A;PROBLEME DE TRANSPORT;O;2023-11-20;08:00:00;00:05:00;i1biy720AIiWqT_EBuBoDCzyPJy4FQW-2PmuaaG-USs
5A;PROBLEME DE TRANSPORT;O;2023-12-06;08:00:00;00:05:00;i1biy720AIiWqT_EBuBoDCzyPJy4FQW-2PmuaaG-USs
5A;SANS EXCUSES;O;2024-03-21;15:00:00;00:05:00;i1biy720AIiWqT_EBuBoDCzyPJy4FQW-2PmuaaG-USs
5A;PROBLEME DE TRANSPORT;O;2024-03-25;08:00:00;00:05:00;i1biy720AIiWqT_EBuBoDCzyPJy4FQW-2PmuaaG-USs
5A;PROBLEME DE TRANSPORT;O;2024-04-23;09:00:00;00:05:00;i1biy720AIiWqT_EBuBoDCzyPJy4FQW-2PmuaaG-USs
5A;PROBLEME DE TRANSPORT;O;2024-05-27;08:00:00;00:05:00;i1biy720AIiWqT_EBuBoDCzyPJy4FQW-2PmuaaG-USs
5A;PROBLEME DE TRANSPORT;O;2024-05-28;09:00:00;00:05:00;i1biy720AIiWqT_EBuBoDCzyPJy4FQW-2PmuaaG-USs
1B/C;PROBLEME DE TRANSPORT;O;2023-09-22;11:10:00;00:05:00;S6BaMiLTYlgqYW_wuCAa6PNn7GYuLdB7H1DEAFKeDiw
1B/C;PROBLEME DE TRANSPORT;O;2023-10-10;08:00:00;00:05:00;S6BaMiLTYlgqYW_wuCAa6PNn7GYuLdB7H1DEAFKeDiw
1B/C;PROBLEME DE TRANSPORT;O;2023-10-10;12:50:00;00:05:00;S6BaMiLTYlgqYW_wuCAa6PNn7GYuLdB7H1DEAFKeDiw
1B/C;PROBLEME DE TRANSPORT;O;2023-10-19;08:00:00;00:05:00;S6BaMiLTYlgqYW_wuCAa6PNn7GYuLdB7H1DEAFKeDiw
1B/C;PROBLEME DE TRANSPORT;O;2023-11-27;08:00:00;00:05:00;S6BaMiLTYlgqYW_wuCAa6PNn7GYuLdB7H1DEAFKeDiw
1B/C;PROBLEME DE TRANSPORT;O;2023-12-07;08:00:00;00:05:00;S6BaMiLTYlgqYW_wuCAa6PNn7GYuLdB7H1DEAFKeDiw
1B/C;Motif non encore connu;N;2023-12-15;15:00:00;00:05:00;S6BaMiLTYlgqYW_wuCAa6PNn7GYuLdB7H1DEAFKeDiw
1B/C;Motif non encore connu;N;2023-12-20;10:10:00;00:05:00;S6BaMiLTYlgqYW_wuCAa6PNn7GYuLdB7H1DEAFKeDiw
1B/C;Motif non encore connu;N;2024-01-10;10:10:00;00:15:00;S6BaMiLTYlgqYW_wuCAa6PNn7GYuLdB7H1DEAFKeDiw
1B/C;PROBLEME DE TRANSPORT;O;2024-01-16;08:00:00;00:05:00;S6BaMiLTYlgqYW_wuCAa6PNn7GYuLdB7H1DEAFKeDiw
1B/C;PROBLEME DE TRANSPORT;O;2024-01-26;08:00:00;00:05:00;S6BaMiLTYlgqYW_wuCAa6PNn7GYuLdB7H1DEAFKeDiw
1B/C;Motif non encore connu;N;2024-03-27;10:10:00;00:30:00;S6BaMiLTYlgqYW_wuCAa6PNn7GYuLdB7H1DEAFKeDiw
1B/C;SANS EXCUSES;O;2024-04-02;10:10:00;00:05:00;S6BaMiLTYlgqYW_wuCAa6PNn7GYuLdB7H1DEAFKeDiw
4A;SANS EXCUSES;O;2023-11-21;15:00:00;00:05:00;yoaHgpvStBZOtddPdeJgFYjCrBihqms3fNoTASksK0E
4A;PROBLEME DE TRANSPORT;O;2023-12-06;08:00:00;00:05:00;yoaHgpvStBZOtddPdeJgFYjCrBihqms3fNoTASksK0E
4A;SANS EXCUSES;O;2024-01-23;10:10:00;00:05:00;yoaHgpvStBZOtddPdeJgFYjCrBihqms3fNoTASksK0E
4A;PROBLEME DE TRANSPORT;O;2024-01-24;08:00:00;00:05:00;yoaHgpvStBZOtddPdeJgFYjCrBihqms3fNoTASksK0E
4A;SANS EXCUSES;O;2024-02-13;10:10:00;00:05:00;yoaHgpvStBZOtddPdeJgFYjCrBihqms3fNoTASksK0E
4A;SANS EXCUSES;O;2024-02-13;15:00:00;00:05:00;yoaHgpvStBZOtddPdeJgFYjCrBihqms3fNoTASksK0E
4A;SANS EXCUSES;O;2024-03-26;10:10:00;00:05:00;yoaHgpvStBZOtddPdeJgFYjCrBihqms3fNoTASksK0E
6A;SANS EXCUSES;O;2023-09-22;10:10:00;00:05:00;3xTRDtaxmqa7A8E93B6IP7iRFjZL0kCrnDykSNFgkko
6A;SANS EXCUSES;O;2023-10-20;12:50:00;00:05:00;3xTRDtaxmqa7A8E93B6IP7iRFjZL0kCrnDykSNFgkko
6A;SANS EXCUSES;O;2024-03-22;12:50:00;00:05:00;3xTRDtaxmqa7A8E93B6IP7iRFjZL0kCrnDykSNFgkko
6A;SANS EXCUSES;O;2024-04-05;12:50:00;00:05:00;3xTRDtaxmqa7A8E93B6IP7iRFjZL0kCrnDykSNFgkko
2B;PROBLEME DE TRANSPORT;O;2023-09-12;08:00:00;00:05:00;GIaxaSjKu9-uWQuTI2v_Fe9Dc9doXNhX145iWgJ3j4w
2B;SANS EXCUSES;O;2023-11-22;10:10:00;00:05:00;GIaxaSjKu9-uWQuTI2v_Fe9Dc9doXNhX145iWgJ3j4w
2B;SANS EXCUSES;O;2023-12-11;12:50:00;00:05:00;GIaxaSjKu9-uWQuTI2v_Fe9Dc9doXNhX145iWgJ3j4w
2B;SANS EXCUSES;O;2023-12-11;15:00:00;00:05:00;GIaxaSjKu9-uWQuTI2v_Fe9Dc9doXNhX145iWgJ3j4w
2B;SANS EXCUSES;O;2023-12-21;15:00:00;00:05:00;GIaxaSjKu9-uWQuTI2v_Fe9Dc9doXNhX145iWgJ3j4w
2B;SANS EXCUSES;O;2024-01-30;12:50:00;00:05:00;GIaxaSjKu9-uWQuTI2v_Fe9Dc9doXNhX145iWgJ3j4w
2B;SANS EXCUSES;O;2024-02-01;15:00:00;00:05:00;GIaxaSjKu9-uWQuTI2v_Fe9Dc9doXNhX145iWgJ3j4w
2B;SANS EXCUSES;O;2024-02-08;15:00:00;00:05:00;GIaxaSjKu9-uWQuTI2v_Fe9Dc9doXNhX145iWgJ3j4w
2B;SANS EXCUSES;O;2024-02-19;12:50:00;00:05:00;GIaxaSjKu9-uWQuTI2v_Fe9Dc9doXNhX145iWgJ3j4w
2B;PROBLEME DE TRANSPORT;O;2024-02-21;08:00:00;00:05:00;GIaxaSjKu9-uWQuTI2v_Fe9Dc9doXNhX145iWgJ3j4w
2B;SANS EXCUSES;O;2024-02-22;15:00:00;00:05:00;GIaxaSjKu9-uWQuTI2v_Fe9Dc9doXNhX145iWgJ3j4w
2B;SANS EXCUSES;O;2024-03-28;10:10:00;00:05:00;GIaxaSjKu9-uWQuTI2v_Fe9Dc9doXNhX145iWgJ3j4w
2B;SANS EXCUSES;O;2024-04-18;15:00:00;00:05:00;GIaxaSjKu9-uWQuTI2v_Fe9Dc9doXNhX145iWgJ3j4w
2A;SANS EXCUSES;O;2023-09-11;11:10:00;00:05:00;rNNP2RvTA59TYD2zD9UpY_D0SJQCx-4jyAbywAkIx8g
2A;PROBLEME DE TRANSPORT;O;2023-11-14;08:00:00;00:05:00;rNNP2RvTA59TYD2zD9UpY_D0SJQCx-4jyAbywAkIx8g
2A;PROBLEME DE TRANSPORT;O;2023-11-20;08:00:00;00:05:00;rNNP2RvTA59TYD2zD9UpY_D0SJQCx-4jyAbywAkIx8g
2A;PROBLEME DE TRANSPORT;O;2023-11-27;08:00:00;00:05:00;rNNP2RvTA59TYD2zD9UpY_D0SJQCx-4jyAbywAkIx8g
2A;SANS EXCUSES;O;2023-12-11;10:10:00;00:05:00;rNNP2RvTA59TYD2zD9UpY_D0SJQCx-4jyAbywAkIx8g
2A;SANS EXCUSES;O;2023-12-14;15:00:00;00:05:00;rNNP2RvTA59TYD2zD9UpY_D0SJQCx-4jyAbywAkIx8g
2A;PROBLEME DE TRANSPORT;O;2024-02-19;08:00:00;00:05:00;rNNP2RvTA59TYD2zD9UpY_D0SJQCx-4jyAbywAkIx8g
2A;SANS EXCUSES;O;2024-02-22;10:10:00;00:05:00;rNNP2RvTA59TYD2zD9UpY_D0SJQCx-4jyAbywAkIx8g
2A;PROBLEME DE TRANSPORT;O;2024-03-11;08:00:00;00:05:00;rNNP2RvTA59TYD2zD9UpY_D0SJQCx-4jyAbywAkIx8g
2A;SANS EXCUSES;O;2024-04-01;10:10:00;00:05:00;rNNP2RvTA59TYD2zD9UpY_D0SJQCx-4jyAbywAkIx8g
2A;PROBLEME DE TRANSPORT;O;2024-04-22;08:00:00;00:05:00;rNNP2RvTA59TYD2zD9UpY_D0SJQCx-4jyAbywAkIx8g
2A;PROBLEME DE TRANSPORT;O;2024-05-20;08:00:00;00:05:00;rNNP2RvTA59TYD2zD9UpY_D0SJQCx-4jyAbywAkIx8g
3B;PROBLEME DE TRANSPORT;O;2023-09-07;08:00:00;00:05:00;-OkZeSv6U0rENPbrPFI-ilsq-LEByjKn6QzZLlNb2xI
3B;SANS EXCUSES;O;2023-10-09;12:50:00;00:05:00;-OkZeSv6U0rENPbrPFI-ilsq-LEByjKn6QzZLlNb2xI
3B;SANS EXCUSES;O;2023-10-12;16:00:00;00:05:00;-OkZeSv6U0rENPbrPFI-ilsq-LEByjKn6QzZLlNb2xI
3B;PROBLEME DE TRANSPORT;O;2023-10-13;08:00:00;00:05:00;-OkZeSv6U0rENPbrPFI-ilsq-LEByjKn6QzZLlNb2xI
3B;SANS EXCUSES;O;2023-10-16;15:00:00;00:05:00;-OkZeSv6U0rENPbrPFI-ilsq-LEByjKn6QzZLlNb2xI
3B;PROBLEME DE TRANSPORT;O;2023-11-14;08:00:00;00:05:00;-OkZeSv6U0rENPbrPFI-ilsq-LEByjKn6QzZLlNb2xI
3B;SANS EXCUSES;O;2023-11-16;15:00:00;00:05:00;-OkZeSv6U0rENPbrPFI-ilsq-LEByjKn6QzZLlNb2xI
3B;SANS EXCUSES;O;2023-12-12;12:50:00;00:05:00;-OkZeSv6U0rENPbrPFI-ilsq-LEByjKn6QzZLlNb2xI
3B;PROBLEME DE TRANSPORT;O;2024-01-15;08:00:00;00:05:00;-OkZeSv6U0rENPbrPFI-ilsq-LEByjKn6QzZLlNb2xI
3B;PROBLEME DE TRANSPORT;O;2024-02-19;08:00:00;00:05:00;-OkZeSv6U0rENPbrPFI-ilsq-LEByjKn6QzZLlNb2xI
3B;SANS EXCUSES;O;2024-02-19;15:00:00;00:05:00;-OkZeSv6U0rENPbrPFI-ilsq-LEByjKn6QzZLlNb2xI
3B;PROBLEME DE TRANSPORT;O;2024-03-11;08:00:00;00:05:00;-OkZeSv6U0rENPbrPFI-ilsq-LEByjKn6QzZLlNb2xI
3B;PROBLEME DE TRANSPORT;O;2024-04-15;08:00:00;00:05:00;-OkZeSv6U0rENPbrPFI-ilsq-LEByjKn6QzZLlNb2xI
3B;Motif non encore connu;N;2024-04-19;10:10:00;00:10:00;-OkZeSv6U0rENPbrPFI-ilsq-LEByjKn6QzZLlNb2xI
3B;PROBLEME DE TRANSPORT;O;2024-04-22;08:00:00;00:05:00;-OkZeSv6U0rENPbrPFI-ilsq-LEByjKn6QzZLlNb2xI
3B;PROBLEME DE TRANSPORT;O;2024-05-16;08:00:00;00:05:00;-OkZeSv6U0rENPbrPFI-ilsq-LEByjKn6QzZLlNb2xI
3B;PROBLEME DE TRANSPORT;O;2024-05-20;08:00:00;00:05:00;-OkZeSv6U0rENPbrPFI-ilsq-LEByjKn6QzZLlNb2xI
6B;PROBLEME DE TRANSPORT;O;2023-10-03;08:00:00;00:05:00;WHc-KnZk-dUKGiDpOI2NyjzqM7qfIWvIt1yCAFn28Kc
6B;SANS EXCUSES;O;2023-10-12;15:00:00;00:05:00;WHc-KnZk-dUKGiDpOI2NyjzqM7qfIWvIt1yCAFn28Kc
6B;PROBLEME DE TRANSPORT;O;2023-11-17;08:00:00;00:05:00;WHc-KnZk-dUKGiDpOI2NyjzqM7qfIWvIt1yCAFn28Kc
6B;PROBLEME DE TRANSPORT;O;2024-03-15;08:00:00;00:05:00;WHc-KnZk-dUKGiDpOI2NyjzqM7qfIWvIt1yCAFn28Kc
6B;PROBLEME DE TRANSPORT;O;2024-04-25;09:00:00;00:05:00;WHc-KnZk-dUKGiDpOI2NyjzqM7qfIWvIt1yCAFn28Kc
6B;PROBLEME DE TRANSPORT;O;2024-05-16;08:00:00;00:05:00;WHc-KnZk-dUKGiDpOI2NyjzqM7qfIWvIt1yCAFn28Kc
6B;PROBLEME DE TRANSPORT;O;2024-05-28;08:00:00;00:05:00;WHc-KnZk-dUKGiDpOI2NyjzqM7qfIWvIt1yCAFn28Kc
Terminale;DIVERS;O;2023-09-05;10:10:00;00:05:00;R0dqI7hXUS8MHuL9U6qaCZ3m9W8oxuufI0g2KziBme4
Terminale;PROBLEME DE TRANSPORT;O;2023-12-19;08:00:00;00:05:00;R0dqI7hXUS8MHuL9U6qaCZ3m9W8oxuufI0g2KziBme4
Terminale;PROBLEME DE TRANSPORT;O;2024-03-25;08:00:00;00:05:00;R0dqI7hXUS8MHuL9U6qaCZ3m9W8oxuufI0g2KziBme4
Terminale;PROBLEME DE TRANSPORT;O;2024-04-01;08:00:00;00:05:00;R0dqI7hXUS8MHuL9U6qaCZ3m9W8oxuufI0g2KziBme4
Terminale;PROBLEME DE TRANSPORT;O;2024-04-02;08:00:00;00:05:00;R0dqI7hXUS8MHuL9U6qaCZ3m9W8oxuufI0g2KziBme4
Terminale;PROBLEME DE TRANSPORT;O;2024-05-20;08:00:00;00:05:00;R0dqI7hXUS8MHuL9U6qaCZ3m9W8oxuufI0g2KziBme4
5A;PROBLEME DE TRANSPORT;O;2023-09-18;08:00:00;00:05:00;NyYsao1DYGPJ3wR4n1GSv4xZObLqBJx0WAgMft_KBrc
5A;PROBLEME DE TRANSPORT;O;2023-09-26;08:00:00;00:05:00;NyYsao1DYGPJ3wR4n1GSv4xZObLqBJx0WAgMft_KBrc
5A;PROBLEME DE TRANSPORT;O;2023-10-09;08:00:00;00:05:00;NyYsao1DYGPJ3wR4n1GSv4xZObLqBJx0WAgMft_KBrc
5A;SANS EXCUSES;O;2023-10-12;09:00:00;00:05:00;NyYsao1DYGPJ3wR4n1GSv4xZObLqBJx0WAgMft_KBrc
5A;SANS EXCUSES;O;2023-10-12;10:10:00;00:05:00;NyYsao1DYGPJ3wR4n1GSv4xZObLqBJx0WAgMft_KBrc
5A;PROBLEME DE TRANSPORT;O;2023-11-07;08:00:00;00:05:00;NyYsao1DYGPJ3wR4n1GSv4xZObLqBJx0WAgMft_KBrc
5A;PROBLEME DE TRANSPORT;O;2023-11-08;08:00:00;00:05:00;NyYsao1DYGPJ3wR4n1GSv4xZObLqBJx0WAgMft_KBrc
5A;PROBLEME DE TRANSPORT;O;2023-11-13;08:00:00;00:05:00;NyYsao1DYGPJ3wR4n1GSv4xZObLqBJx0WAgMft_KBrc
5A;PROBLEME DE TRANSPORT;O;2023-11-14;08:00:00;00:05:00;NyYsao1DYGPJ3wR4n1GSv4xZObLqBJx0WAgMft_KBrc
5A;SANS EXCUSES;O;2023-11-14;13:50:00;00:05:00;NyYsao1DYGPJ3wR4n1GSv4xZObLqBJx0WAgMft_KBrc
5A;PROBLEME DE TRANSPORT;O;2023-11-20;08:00:00;00:05:00;NyYsao1DYGPJ3wR4n1GSv4xZObLqBJx0WAgMft_KBrc
5A;SANS EXCUSES;O;2023-11-23;12:50:00;00:05:00;NyYsao1DYGPJ3wR4n1GSv4xZObLqBJx0WAgMft_KBrc
5A;PROBLEME DE TRANSPORT;O;2023-11-24;08:00:00;00:05:00;NyYsao1DYGPJ3wR4n1GSv4xZObLqBJx0WAgMft_KBrc
5A;PROBLEME DE TRANSPORT;O;2023-11-27;08:00:00;00:05:00;NyYsao1DYGPJ3wR4n1GSv4xZObLqBJx0WAgMft_KBrc
5A;SANS EXCUSES;O;2023-11-28;10:10:00;00:05:00;NyYsao1DYGPJ3wR4n1GSv4xZObLqBJx0WAgMft_KBrc
5A;PROBLEME DE TRANSPORT;O;2023-12-06;08:00:00;00:05:00;NyYsao1DYGPJ3wR4n1GSv4xZObLqBJx0WAgMft_KBrc
5A;PROBLEME DE TRANSPORT;O;2023-12-11;08:00:00;00:05:00;NyYsao1DYGPJ3wR4n1GSv4xZObLqBJx0WAgMft_KBrc
5A;PROBLEME DE TRANSPORT;O;2023-12-12;08:00:00;00:05:00;NyYsao1DYGPJ3wR4n1GSv4xZObLqBJx0WAgMft_KBrc
5A;SANS EXCUSES;O;2023-12-18;09:00:00;00:05:00;NyYsao1DYGPJ3wR4n1GSv4xZObLqBJx0WAgMft_KBrc
5A;PROBLEME DE TRANSPORT;O;2023-12-19;08:00:00;00:05:00;NyYsao1DYGPJ3wR4n1GSv4xZObLqBJx0WAgMft_KBrc
5A;PROBLEME DE TRANSPORT;O;2023-12-21;08:00:00;00:05:00;NyYsao1DYGPJ3wR4n1GSv4xZObLqBJx0WAgMft_KBrc
5A;PROBLEME DE TRANSPORT;O;2024-01-08;08:00:00;00:05:00;NyYsao1DYGPJ3wR4n1GSv4xZObLqBJx0WAgMft_KBrc
5A;PROBLEME DE TRANSPORT;O;2024-01-29;08:00:00;00:05:00;NyYsao1DYGPJ3wR4n1GSv4xZObLqBJx0WAgMft_KBrc
5A;PROBLEME DE TRANSPORT;O;2024-02-05;08:00:00;00:05:00;NyYsao1DYGPJ3wR4n1GSv4xZObLqBJx0WAgMft_KBrc
5A;PROBLEME DE TRANSPORT;O;2024-02-06;08:00:00;00:05:00;NyYsao1DYGPJ3wR4n1GSv4xZObLqBJx0WAgMft_KBrc
5A;PROBLEME DE TRANSPORT;O;2024-02-20;08:00:00;00:05:00;NyYsao1DYGPJ3wR4n1GSv4xZObLqBJx0WAgMft_KBrc
5A;PROBLEME DE TRANSPORT;O;2024-03-12;08:00:00;00:05:00;NyYsao1DYGPJ3wR4n1GSv4xZObLqBJx0WAgMft_KBrc
5A;PROBLEME DE TRANSPORT;O;2024-03-25;08:00:00;00:05:00;NyYsao1DYGPJ3wR4n1GSv4xZObLqBJx0WAgMft_KBrc
