eleve_id;date_naiss;classes;sexe
mDotgKznhAdvaGgN2qBOCfuMgcLU37uJP0e3znz-sCg;2016-09-08;nan;F
bbgtRCF62jBSWt0Xn4LdVQWnR3M8pHeaUrra500N69E;2007-11-16;1B/C;F
2yeURp9if_vJzx86Yk4815AOw721yKxHBVEoyg-iI3I;2011-11-02;5B;M
pKGK749vJphbsyngmebEB7MXCPY2MZBiz9owgaT7Zd8;2010-09-04;4A;F
OK9GdImzGQDjR3zNB-R_eF2Y5xbroIHKjb2RTm-Avlw;2013-03-11;nan;M
Zb8QfQJnnpx-gSj__Kz0NjC2MlXdr8uXOn-MSLpqOJM;2015-09-22;nan;M
c4eBc5qIjsn-NgKDRmci8xnYuPxWJxL4EbM8j1gBS0U;2013-09-16;nan;M
e9T6crysRTR-1f70JI0u4XixVT2PTj07Hna5y605ecY;2013-02-04;nan;M
n8xpnuCI0rSu6_amGsmOyI3YkU01yXrI-ZrLjAJNZOI;2017-01-03;nan;F
JtHbPBV-Tbd9o9rYxlFWLDpw8BC8Yy8PydUVd9bAkqw;2012-06-23;6A;F
LaRYCt8xNsF6TpzN4Xk4VumCZ4SG3TxMQXF_qpEs9zQ;2012-09-29;6A;F
OhkNd-KOI3aDD6a7waiYWj2brHyU5yptb_n0JLcL5PY;2017-03-13;nan;M
BaKUaGIydZ3odD7VqDTSrKgEuYH8FQn7NPSQa-_VsP4;2009-05-20;3C;M
Wy68zbgrqn7Tz90feRhX8Y42q4brC7WK7KkyD0P6AH8;2007-08-01;1B/C;F
vgEFyX1Kp1b84CuCPvurcF-PgE6z6pFk1R5x3EkNJPI;2018-05-04;nan;M
1AtvBa7LxnX6AG6tJRw7WXDs-4jN7M8OwO1rNK8-Hhg;2016-09-22;nan;F
jg74tSXP-l0VU0tLyijzxbrtC5Oe8LEduYlVNMmMCb4;2013-10-28;nan;F
DyJf1T4yDLgrUi52e67pJRZ2osLJ06bgQGRyybEHGAw;2007-07-29;1A;M
Ez1D5iUtqx_Cw7_CGAMmEJ14nVrp9n3FkIqklnlifUw;2013-07-13;nan;F
pPIjc4yecBE_jPW2Pn8onkq-hRULP7C764n81RWAcQk;2017-09-20;nan;M
ScqKC6xFOx_3F6KNkV52o6Q4uMnm7jTtOqOMfxfHCDU;2011-06-11;nan;F
L--GLfWWRdDHAle8OwoShFElLEXd_jwpGgOsPCVQNHw;2014-07-08;nan;M
b5H9gx6XiEmz3AAlDM8BHljUprWazd4B1RsBy68l5Ug;2016-01-29;nan;M
mPQi1UTOOo69QwVfKEqiHc4cErVS1XdsVjipB911zEI;2011-12-09;nan;F
bRfOLIFdQhZteu-ke5zG_XEfANjLRxgqkm9Qvdcp01k;2017-11-21;nan;M
CKAQr6K1D7sTN1acUK5PKaiSDu5sUhixrAYjyQsIPAk;2013-12-13;nan;F
uz_o_Ioq6IW0SoBsCoGQ3pe8XqM7-Li1u8XMAl2iP_A;2009-04-01;3A;F
rqZiRJvpyrByy3Kde39ZcJ_JuH_Nx3dH2q9fpD5cRrk;2015-08-13;nan;M
8GIr-_B91dN_RXf6N4kiQiLKWD1EEv2zexdpnlEiCK8;2015-03-20;nan;M
iudZ7y6Z-orag_yfVkxSyfx2omwq7j2wnOwdPWvmVDw;2010-12-02;nan;F
i9ZEWaC8rP2MUU7vyA5xjkZxJ3eu4RLKvT9Q2lXpnKc;2014-01-27;nan;F
qAfoydyY9Xqua0T6ynbW3tBczMyS0xXcbcLEa8s6i8E;2010-12-20;4C;F
PZ1Lr9qfkxiZGw1pol46TtgXQhuPQY3VBAGfmXb618M;2008-12-14;2C;M
3bhPG0Uqq0sn8SPzANGrpNMgk7EURX_FRusG0ExXVq4;2008-12-01;nan;M
iAm-C0WBS1mLYn4eZX0CcF9p6BBIQ5WTkjowf_2Cvhk;2011-07-19;nan;F
J8SKUpngjyP4L5ZU4HpEnyTkniVE1gXeXB6HUDsvInY;2012-01-10;6C;M
iZ7mcjzo2OmLsnUjV581ksgku0_jJR2peEFuZcuTmNI;2007-09-20;1A;F
YN0jMAG-comB0Kye5oA2857WWoeAIYWd64OYXuLOk-0;2009-08-04;3C;F
M6LucN9TRo6gtjkbeFD4CEYMQr0B0ibJ6IYf5EcMqpM;2007-04-24;1B/C;F
cxruWyQ8HvRCPhg1rKvrMc2J-ZDYJ53AbRqKgT21QE4;2008-08-11;nan;F
7V9sLWa_wV5UOowRl8EdfLw9_y8bUsLDp4XMJP0nd5w;2017-01-16;nan;F
vPblG9xP3D9uzil7Ah9ny12qVhrdmMWsTM28eLQBVCA;2014-07-14;nan;F
cQj3gk7B8NCXOCq9mQfXEo6Q9tTd73KfIMsSOCdnvg4;2012-12-08;6C;F
qY58z9Um2gS1D0DmEfNTMNa7UCzznbcHa_fQKU_FoyY;2011-08-01;nan;F
dIihXW8SwPh3voZNIeQO3sEAtAH2Aet1tAG8Qi--bkw;2016-12-30;nan;F
N7r49iPw-8QGenuIsY23jv0G1o-3MAIrZCuo2xhFVBg;2008-09-24;2A;F
NEWlSarJFHHW66l-4010bsWqOAR4efc_rhYWFDX_ojY;2010-02-25;4B;M
H_JhQpqIYcFbSErHP6Ya9HGGgpCT92pR5f4hJHJS_gc;2007-07-11;nan;F
ulu-DXIwcy70Sz_MRkpjbGCbFyo_XF56mYCKCVMU-KQ;2011-02-07;nan;F
pthtzlDHnLgzQ03agD3I-pZWJaV4f5u2XgUGRneh2vs;2008-09-18;2A;M
tvdU4GwEf36ov1VvqksfqR0Bq2f7DFTFhBBqogO1g_w;2011-05-10;5A;F
gBpKB-JW4IaeM8dXOLXm6nV4G1cQz9WK4JGAuJ135Rg;2010-05-31;4A;M
cGHmoDkYcKTWTVwvdsO29BYdinjl1Y-3wFOqc3P_HK0;2014-05-09;nan;M
LEPFmmhIqZ8XHeZnmNIh0r0n8C50Mg3zfhp6g9PLgb8;2009-04-15;3A;M
P8aN-xiAOgza2Ov6JH-Kc28U1sF5fhsdreSp-Mq0YP4;2006-03-03;Terminale;M
U7vfpLY888o43efm7i4OCc_KfaN6AGGUxLTexQWxOws;2012-08-25;6A;F
UyVj9DpgwED5FqkywIkDQX5UIOsbpBYzHDNU-oeD2n4;2009-04-17;3B;M
B6DBdX_nY0_KkWePDdzQ4Ya2Dxxrx2Rw0shZP8ZKy34;2012-05-31;6C;F
R5Mm0EmY3HTbczZ5fBZAvjYyjB_Ae4_W2z_Ur5EUsI0;2015-03-18;nan;M
i1biy720AIiWqT_EBuBoDCzyPJy4FQW-2PmuaaG-USs;2011-10-26;5A;M
jlIc0QQCDY3S7iWOx7o0U-2OrzpjHqAIT7ASFCNWNnc;2016-03-10;nan;F
Uynho8_sDApXQqSkgpx7jrcvD7vR4l106fO3dAuliXo;2013-08-05;nan;F
S6BaMiLTYlgqYW_wuCAa6PNn7GYuLdB7H1DEAFKeDiw;2007-09-14;1B/C;F
yoaHgpvStBZOtddPdeJgFYjCrBihqms3fNoTASksK0E;2010-12-22;4A;F
3xTRDtaxmqa7A8E93B6IP7iRFjZL0kCrnDykSNFgkko;2012-12-03;6A;M
GIaxaSjKu9-uWQuTI2v_Fe9Dc9doXNhX145iWgJ3j4w;2008-07-16;2B;F
rNNP2RvTA59TYD2zD9UpY_D0SJQCx-4jyAbywAkIx8g;2008-03-04;2A;M
-OkZeSv6U0rENPbrPFI-ilsq-LEByjKn6QzZLlNb2xI;2009-03-13;3B;F
WHc-KnZk-dUKGiDpOI2NyjzqM7qfIWvIt1yCAFn28Kc;2012-04-11;6B;F
eeCiPiCZFXTrilvf_Eyw82fDNCTGD0tGMbByN8BUcyI;2015-06-01;nan;M
wOpyyXEXVg5nI4W9GJp-e4lPUAVdNaR-eSy7ZBsy3g8;2012-08-20;nan;M
R0dqI7hXUS8MHuL9U6qaCZ3m9W8oxuufI0g2KziBme4;2006-08-16;Terminale;F
NyYsao1DYGPJ3wR4n1GSv4xZObLqBJx0WAgMft_KBrc;2011-11-01;5A;F
iE-N2ESkF9Pz1KpfhbxhNjEdMg1dVX8tJL4a_eO3F6M;2009-05-06;3B;M
EbQx_GszRg8_utTSEWFBKGm_gexsOPxzlzWuGqeDGtI;2012-02-20;nan;M
finLLuXIGD76WBVPIFR3icbAt6e9gLRoBxK3-MUpipc;2010-12-09;4B;M
9s8qmp4RraSX6aYyCn-9YpaVBMa1pe6s5letS33hhIM;2014-03-04;nan;M
KWIw5gvi1vIJ8K7DpPi-lXVq3kqVu7nlWAmpzVyes1U;2010-12-05;4A;M
0UnGoC86zJY-pyLWcMv7_FvKG70_h6h3wK8bCLc-B0A;2015-08-17;nan;F
xKAnrkOOyUD6yaSOMpmIH4QODdksqPVojeOV5houToU;2015-05-20;nan;M
m5xf6d5Oiss-hAkn9EUNvAnqJ84Fx6OKC9qnirZdArQ;2018-02-19;nan;M
eHbf2HQLq57EVufEiKc1aL0zXaMjK5BgKOxaVtROiok;2013-04-12;nan;M
1uAM5Tlr0FmWlph0x6YEqggTi6biqSWnKVuNN_BKomo;2012-01-23;6A;M
DwUe6TVgdRe61KNZu9vMVqOdsxsDnsIi6fYPAecINjQ;2013-07-30;nan;M
53V33NjKa3QFqf5K07clBX4Hx4N94suO9O5taTguXbs;2011-10-03;5C;F
AbchpwDpuIL_PuQfOeNxR8Lo_An3pU3L_Iv5dokteI0;2018-06-22;nan;M
98MS2uDKlKqC7Qlh4p51d3o7svSjOCkIuihuUJFuRm0;2011-05-14;5B;F
eL8PGgricIsrnj7VmaenJ6RgcT56w5O2_tVY21BKjdw;2012-12-30;6B;M
n2YXjFi9xitlo5KbrNgpdiLggV2pnmtugv6KFJCmsBQ;2009-09-02;3C;M
jC0adHDe0CD61Kz7gC7ttf1Ba46jO0Q3-VjetHpY-Q8;2015-09-12;nan;F
BYIrK9VroohqRd_qCKupY98yTcK2Xn0fxE0YWfo1mvA;2006-10-04;Terminale;F
LlrsGOdTkMJXj1oq0g4kKzk1IgvlDjgc61WtFTMuLDg;2008-10-12;2B;M
0kcOquOpKE9fPfwXh0N2JtY_dEBdTtrMhylGPJZ4oLY;2013-08-23;nan;M
jj2WwUkPA2fQkB0mRv-9eg0ZNvXrckoU4k5QDWXT_5M;2009-06-10;nan;F
A6aX9gPk_pC7wqCzvI8aHrUZZP0He1-9YmjtQdyYyAY;2016-12-14;nan;F
0M7YVYNgcnP1fXyEH27kTbI8xI3J_5Y_VDWwdsv78ws;2007-12-28;1A;F
CROKt3t6aVHInwEV_nz0shuG26-QXOc8wNx_stHTiis;2012-09-25;6C;M
7cH6g0_qNaouFHPErrgi7H_FOAXNw1C5h15wLqlBISk;2015-05-23;nan;M
MH3zeVBDBaJHfq21AVNxIFSFL0Tz0g93pqp55na-RLI;2009-07-28;3C;F
4z3S0asPCajLU5mtsF-FEH3134hoSvdC56epCyBqqVk;2007-07-09;1B/C;F
R3j2R9l_aD747y1FuIvTVrkcpZ4GgMGnraerUIDSdZo;2012-09-12;6B;M
7yT3LeEQdnMEDe2Nx9HQ3i9lLlCiJxVjocJTzJErBI8;2007-11-27;1B/C;M
OAWz1lJLO55djXcZKdDJndyC17x_CjmUGa5Y64CaB2A;2009-02-10;3A;F
-apglKHWvlC1l3Iar9i0OLDsJegtfjEoln1nkM9GlQw;2007-10-27;1A;F
Fx5Y0OXUfQUFGsYRKyWVEaPjDLTAnHrK1WHYZQ4jvfw;2015-11-05;nan;F
rUEz8EJxYsrZv_Lz-8fdw1BnHzhdQyK-Ul6WPUj0y5Y;2011-04-01;nan;F
SjeLSg5zDVcYqCzn3aXlwR3amJHeF4c2qhpFxK4RlYM;2009-09-26;nan;F
_mRZ-bg9YF3UVlPTlvuRBhp8dQ6RODL_iL6weYl_Uio;2016-01-21;nan;F
Xl-5sTQzqCXXH2jefhgAQIZ41TBHd3ufkwBMi5AvXE0;2015-08-19;nan;M
4UPxoXWtfxb7DXrjXdnc9Vs5X-_ukDXSs6WHrGnfcB4;2010-03-25;4B;M
WfIvrv9WzTh9HnF352nTujNHtDyFWIDQ9Vwyhe56xho;2013-03-11;nan;F
E5BwnEOfj6RpUy7Bl-b0JNH1GYcGquy6VRGpiVkiI44;2011-01-27;5C;M
eREy8SDwW7do9sFgzYfqrph3-H3NUm-FdJvPoHZbjoo;2010-03-27;4C;M
wLuBjVsgMFml6JCB3RBapewh-v_MlHGnq3PPG2DylRo;2006-11-25;1B/C;M
as4EISZ73Vh1ieJ4hrfolvfWDviMPf0x5KMuRKNZuuc;2010-02-25;4B;F
NtxDQ77rDLKF4f-niWAKs5dyTcA6wtOwsSMo1pg1dPY;2007-04-20;1A;M
_mcu-ylw_DNX3nZ9xuaHkZG86m8seWKsHFPYDT7EQGc;2005-05-03;Terminale;M
d5NYXP7DPsjaza1elpPu3p5aJy9XjDDybBSsh3Q9USY;2008-04-28;2B;M
f3oDpFV55Qnay-hJ4LkTk6cbrVy591Wr-qJF3ZNgmuE;2015-11-26;nan;M
IwCZCDXW7Fp0pN_SmHLTYAXAk8kBEJ19B7myEZW6lSE;2007-12-06;1B/C;M
t0yGJbJk-148rq0fxxPRksi2ejaB2Mlg5Yye3do0qRs;2009-11-11;3B;M
BFb2WBb9rtnKRgR3C9B7fX5qZp2Mc5IW8EJle_6rifo;2006-10-26;1B/C;M
uQDbaIwfPFjym3uaYLE6WfuLnR2rb7TBEEcXdupkMvQ;2011-04-21;5B;M
jc_SOnXvusZltikBs27Da22nepkbd-QHMBm8n5-i0XU;2011-05-01;5A;M
sVg6zSdJ__KqH8tSllKQ55P8fI7T8bSjlc89crSGD7E;2006-09-27;Terminale;M
WR8DpNDckVKwsnmUcnIAle4pq-liPFATOHuHQrtv1qw;2012-01-12;nan;M
nezaJPGd_1jP1wJjMVGsvC3Cp53Fx7L4MGddq7yosdA;2010-07-23;nan;F
qlrNghZxXRuGRtnbJZF6plI5PJqNClWf7h2_bYu6ivY;2017-05-12;nan;F
saC02TQCHC401w3WGIfC4mErne6Fa7AccoWfwKKLZCA;2017-02-25;nan;M
OxTig2ckJJroNriDnj2wINT9VuGetCiDQ_10N2e5rwg;2012-10-15;nan;M
jvKvsgh3-GgUmtmT-7d52xT8ahmUlsO7-0ilHYylEoY;2010-12-10;5A;M
rUWIiH9GEpzIKcmOwhKgJmF9ectQ8aEz3KzqFQamOIs;2014-03-12;nan;M
HOh3hGuVWio1jBnrcrypOaxtjuRylI6tzn3HPeVAnTQ;2018-02-21;nan;F
e39VVOIQSRRKJLImLubDNwbk7615wXOoKU-xTO_9gX8;2008-10-28;2C;M
2vSxVi7F-8pCVIg1bzSgaeSADjOhuYECI3t7fYTrPtI;2018-11-27;nan;M
1ImoRrm1wkwRpxUMRfI6KZxGlDyMTj125n5ZGiyPSQQ;2014-09-22;nan;F
u4-ao2ErjBrLVWQPG8on0MNPeO8AudFeabVTzpRV6pA;2010-06-28;4C;M
GbMxrMfnvKDq4zzplkWr-OG1XMzA4tUUjCJOD0TE9C4;2008-01-25;2B;M
bBboQPDx-xdZ9YGXyehtLX6r3dS61yjDq_hJmuGbQvg;2008-02-25;nan;F
XLQkBfimIl9_9kBYjUKj-VZc0UdYzVMF_3866uJG0Qg;2010-10-10;4C;M
2E_NRGEebMy44a3lvdocwUpfWZNqisgcTIlv-SXdulA;2014-08-05;nan;M
ne5_te5tWZk0KMSBy7oWTihaH5z0m3gyeHFi7rwoBXI;2006-01-14;Terminale;F
dL3WloIEanh7tuQ6LeHpEDOGC9XWbmjdexqGq8Tx_fU;2011-01-28;4B;F
5BkW-ZhQQTsnGQ8kPfOwck1X6i3toLM-hIwT1X4YASw;2009-01-06;3C;F
yNHOilsb0afc241wKss4R4oV49a_t60riEbEvPT_uTU;2007-12-12;1B/C;M
I3vCwxYh1opV9Ptif9vRzcUwEEeN2k508SR8zVN6BAQ;2015-09-21;nan;M
VdnJCdhsgzJtrzOsoKiG31BHPOCHh-evGzIh86vlTZk;2013-07-21;nan;M
FhxTVo_40rSi5x9wQf4_-qULmbCmRFjGZhuq2nDxTgw;2016-11-17;nan;F
ysi3GWtzaKjB0h_9zC2R1BBzA7R41vmQsex10Ne0LH4;2010-08-02;nan;F
BDNUeIgeEHVXRqCoKwtTFM8rqNKKIZY7nLm3DJNg0cg;2012-06-14;6C;F
nBhpEHp_jYerlrInP4_qVRhFC9K8MMfklcd2Vt82P6s;2013-09-03;nan;F
G1ekX4-dkvVBsOzbVmp8hqfVBBK9YGXMDbzqvB6b0q8;2017-11-23;nan;F
Kq1K0fOyKVJV4cVjTkQ6T8Xij0knSfmJB43kpXyCni4;2014-05-02;nan;M
GEgD9mlQakzOM-6Nu99iDQ0GIsE4WWrvEdiwjG2LRjc;2012-10-31;nan;F
TI182-xViK4Q4EUtFrY5WITweSsH0-jekWwIuCI6sFc;2017-07-12;nan;M
rBfeng-nhzTCO_EbzV_3Ax4YN7DxPeaRtvG5Xyt1mWM;2011-03-02;5A;M
cYMQwIKyk44C0K8q30w47-km4EkIt0OLaTK6TKKTqRg;2014-10-21;nan;F
nF4qEfwF-PWG9OlXXAFf1BCJJJE4CZt58o1qBd0KV-I;2008-01-06;2B;F
83jGAidoapVMbksz8_Rs8cwXXe89Vrn5WhlSEit_z2c;2011-07-23;5C;F
ss5EC-xoByUyehGd9WvdcuaZfIErmIJlGy2ZM6LL40Y;2008-12-26;2C;F
AxVdXAT_RHNsNiuDOtf-1traUE6hL_svM64pRvdqI3E;2016-07-19;nan;M
O6wqCjUNcMlCs37lA6QDCafNWhk8NOiOdTXlGeM6qBI;2012-10-12;nan;M
jEv8iVgbqrLsRdKKQJPlosJ4VYgrNhB4a0StEkUFwtI;2015-02-08;nan;M
oryI8VbQiiMvGqJVaPpv5tA31rRahouzJxPnw9rgtMk;2008-11-14;2A;M
SHSsPgbi5BlYrnCmuWleygH_tfqYvy_YxugirX8LGV0;2012-04-05;6B;F
Q7nRPX4OFG9o85QweZcaRSyGGIvVCP6RIMHY0Rp5rpY;2015-04-19;nan;F
ddUtvb1xfgYQtbTgTUvKTQky3tdIeJafd6ai9zdKHlM;2012-11-07;6C;M
iMXmjqQhPypEkR6MhcnigASZTqSwX3ScVWmMLRco1_I;2007-07-28;1B/C;F
dtXRFqMibQPAo2ULjXcciGqdEEYL161P7dTdQJ8fRSU;2018-07-03;nan;M
NRbtk4OkxrpRHchnDnNUEqd8I3BbyXZR98zxvGAm2D0;2011-04-30;5B;M
L7u0_tAZdHWbmFRLOECe7HPFLNU4JbBf3EnOD3f6P6s;2013-05-31;nan;F
U65EZFjIgSPtJN--o6o8b4bHoj1JvsD6veondZKm0oA;2010-07-20;4C;M
jOK86y5uzhVigzaaqP9BmADjUksH33mn5lwfas7CiVw;2015-03-25;nan;F
ontjy1eKIChZn7LV1VBXQM_KJwE1-1so5Ax3GYtdezQ;2012-01-31;6B;F
FBFfOJUtsBcL4WEKZePHwvEe2TC6eVWZWEF40Y80HdQ;2017-01-02;nan;F
v14-XF49bXrCQdWfck-KH2SNoXi9QhqZudAIwcHQcdY;2013-08-02;nan;F
b6fWq2NkCCOc_UFCwwBWLrTr4Bt25MapLiflBAdnTRA;2009-01-05;3A;M
722SW82MUyddQTTlc_MskD3cFsQJOhUlbwXr2TI4T20;2016-01-26;nan;M
0nNV6WtNvyhuzZhgqJvNPZaxLN3BgsGxgwcf-1VJPdE;2008-05-05;2C;F
rhm4WE7pH7UTiJyro0o_9FYSvw59o3LkI56oSy0lNIs;2012-06-06;nan;M
1h60gDw3J-I1N7MgKsfFQ-yZirgmteGLLUJ1phBnoos;2006-05-08;Terminale;F
K94HBGlqVMzS8NTERhieU9rXW_DMotS3awCdP4eCmxM;2012-05-22;6B;F
bs0PdZKo05y4EJ1uSUGO1xVUGB6Re_P6GeZY9oyUUbY;2008-10-24;2C;F
UJt7DNVsYJrgOQAO6P75AWmGRjkk0cKUVpvqkT2k8yM;2013-04-04;nan;M
rtDrGahV3k3dc9KIPSOMqiRrpxWQS6R-4ZwgINhH5hs;2015-10-26;nan;M
pMLedFZKHsQztze5-270OE-lZhfiNKpunTNtaKBS0ew;2010-01-09;3A;M
gkcvOH6IQPR7CUN3t8dkpogfIUn7MwfogmoK_2Rx4cI;2012-03-24;6A;F
HJXxjEzLdtvH1-Ap4yafogr4wUusjuFpLrXEJMa917A;2015-01-31;nan;F
wV3IqFJNTAlEDlFBhSn7F3oB2EQT95imwa8q2iaBCWE;2007-11-26;1A;M
RvsKGw2WsJvQLQ07UDFk9lnpt6cTj2RFOqA9htX4OBM;2008-10-12;2A;F
MC6X8_1l_MQYPdo41lOh-B1LijyItLD64-ctRfrZT7k;2015-07-13;nan;M
doiug-5Bg7tAH-DWTQsDgUxkFdA3kpJ6QcziVA8CU8A;2017-04-13;nan;F
Th1YlstCG6poVMDyw3WKL4qG9WpymAQj-yTCyjPZEzA;2014-01-05;nan;M
14l3CvsmnkTsjI7aOhANrFfg0yfgOR6y-OBp1w7geDE;2012-10-20;6C;F
UBcDqN0ksVYUpGQNs7VCUkEREPQKwOZ7iKbI2b58Qow;2014-02-13;nan;F
sVdFZwC4K9wlDxCwGXq17leJNHiDxHI2qfI-CxUKgGc;2010-05-17;4A;F
c8MRZT86QuztF0kxSrVvv3olL6gdD5zZ0kND3zSXuWI;2012-01-21;6A;F
f24xbMdgQjBbxNQcODLnIdHS9j-VVjsNh37UTcgJWsE;2008-05-05;2C;M
hWmNJug_uHbjDDEW3IwJMSS9x96Iuz0og4W51_pETAY;2012-05-17;6A;M
XcwNms4hghmCSfo-oLb9x8urryMqDsqw7gq3NbSjodU;2018-11-13;nan;M
ZKVy0VEWXgAgG4X8TUB9kgRpnjBJbwK5qsjrj7BEseQ;2014-09-12;nan;M
ZPT1dqFBSkQZ6qGy4Dtfa4uEaQNgXw2Cbu-45QI5ur0;2006-10-16;Terminale;F
wfgRwUsCHNYOwJ0xWBu92tmL-3kiBEPYJOiEoFz7_k0;2010-08-28;5C;F
Ap9HgqZoo7UxP5XU5iMD45T--9MK1HwAa3-VDsX2JuU;2015-04-22;nan;M
9q5kF1nexevUuv3E64C0chRhEBvy22HcAndI6XYwgQM;2016-01-12;nan;F
47vIWzh0p-iE2rIDPRdL_qXwZ9TdKEkI_XjYtgH_lyk;2017-06-08;nan;F
IYE-j2ZNUHeSUSXBdHHQovB3e05ihRO-dcDJwx4nZ4A;2011-04-09;nan;F
Edw8Jzim2N5-wBkrN5RmvQmGObeolIyqgnXQO-7tG8U;2010-04-05;4A;F
lfJIm1nndn7lHUES6uncT7XF9ZtMjYcgDoEyx0vDhDU;2011-03-07;nan;F
saIZFyjB2TjIw5eeO25SY6-DgL5maW7a_-aMnQQtFVo;2006-07-18;Terminale;M
3gxXu8cFCDMOoZJEga90NN5EcWlloEDMH5zsLTBIYXE;2012-08-22;6B;F
RpX7D2y1WYHBD5hOZWtcUUR0f-RdQq7BhaUp5030FrI;2009-05-11;3B;F
Aiaps-fLivSMrsnufwbekCTbg0Ayju7JH10bcYmmMKw;2010-02-19;4B;F
Cc8-H1z8LW-qcG02WsJz2ft9cim4gY6L63d_2JvIEzI;2006-07-09;Terminale;F
a6jBNRAbMMFhO9e5KBrsM7Yjqh5MYb0EE4e2yB_AkRc;2010-02-15;4C;F
8565x7mAoYrvbsQKYvfkxaL6H1KVe63YIb5OQkB7cSU;2011-02-27;5C;M
rG8p0LkaJS3bU4tt_3-jkJAfc3tSeuJiZLFPe1YWWuQ;2009-10-01;3A;F
hpei42hDo2TAiD9Wbx-y-eQKl5yzJqS9ZpNys0qKa8k;2014-11-08;nan;M
2CqwogxxCbRWBeTEiTJFzWzzvCD50N4DdJ_-TCCZoro;2014-11-17;nan;F
tpMagW8kFfMjbUaKO4kRR23l1kOr_RGLQIbqW_E4iJk;2016-09-06;nan;M
pLn1tTctx0VQeIKuDR-ZtUspJdJdc2zO82E_tHqQgTk;2016-08-11;nan;M
KZ7t1XJ5BKqTC40hypDlcc1HAreErPJpa5T-8qq37Nw;2009-01-26;3C;M
GNBdcywpRVHuoqiY4FOLbF1uUufMcl3qjbQuEcWfiYw;2012-06-04;6C;F
UQebojALlUhQ92lbdwUPUCuwh_Pd1d5DEZ_BNMXpRAA;2007-01-27;1A;F
XTki9uapg6IiGZses0ug7aYadmVy-d-Fx6-RWK2SDJk;2014-08-04;nan;M
QoqOnH3bGj7OPAwYwhOqmLJBWiJTMLC7nPrui-Xry7U;2007-03-20;1B/C;M
BamOeuKKmtMmCpu67zeID_YaCCPDErCobI6QKDeAfEs;2006-06-11;Terminale;M
haUbbDVPDXbmdAtm3N3YX45NGZQU1hES6iQGImf65d4;2017-05-11;nan;F
F9nDndvUjRLFze02zhQbHxvei7M43-rvEWyfUNlWgek;2006-11-02;Terminale;M
FOia4mWwtLBcw2sx_ShLOri7wxjdwyoIXPpfgHGuBnc;2014-09-28;nan;F
FZHRylD8dalSbWRh5hPOA1xObIIJbCeUFcgF4g0n0I8;2015-06-15;nan;F
CytiwVZpaQ4mIA7ICPQ3F5-b1ulvBHyHavEgOZydSwQ;2016-01-31;nan;F
lqfaBfqtkz6Dw1-L07gt-6oP6VukCT5gG8EIMM9J8hw;2010-12-14;4A;F
gSjyN4NHER5UaK954477Uk179b1AexveBsSEZAZIZaU;2013-09-04;nan;F
guTcFwhL8KH3DYaY_JJwRiPODXNXm9jL5Oe0qOUkftw;2010-02-15;4A;M
WOB5HtGSoRAUp5o-UT-m8wqAhdhqV_qlae6K9mN6YGs;2013-05-16;nan;F
f0qIAR9jwMa7Z7m7Ddd4a2n1_zrAS7UTLa0ec5jTYGA;2008-08-12;2C;M
ubW2BIPGz761nfaWrE_eUtTRLkZy_j1N_WR7iUZPQoc;2006-12-14;Terminale;F
MR2OZETw6pTE6aE_oC1xIrNwmn9Xyn3ZcbI-c0sJVTU;2012-10-15;6A;F
f4BserhukNnVh-YlR75xhQjfIHeaSSfdkLzlB657gm4;2016-12-02;nan;M
zU_QL5RHQn2SRUhlmEj9JOvEjrm6mz3VwE6jXOGpeYs;2016-01-06;nan;M
mt0aeRSwd-7grLsQvc0nTddh9kdMbwddVo6FrtFV0n4;2010-11-12;4C;M
n4_txNGO5yp5KifjTCaTdHWPFM3qK2qUuxOX6FMpYn0;2009-07-02;nan;M
qfCdQTLX2s6B3YQuRpRWnf2PmZ04KchZUbzQ-DXJ6Nc;2016-12-22;nan;F
-Juyxs_DzMFJcPn7IIMMDFS4f3EYw3-_pHfCJcYGjv8;2017-05-10;nan;F
pwirf7NJTfqE8hX1YsZhO0wVW6JzYVNiZRMNrLNk6gM;2013-06-21;nan;M
v8_Pwj1cdFynLik3_ZQKpvKgnjFrhRcEi8AWhBZLM50;2006-06-29;Terminale;M
6bb8K4Ql5NT9tNBOlM719VGaeen1VVqIXAqFDtD5FgA;2011-01-27;5C;M
gMQTvSNvbYhP-FQ5_D3YcmAPGQj5mU9k2xfjvp_FSKs;2017-05-18;nan;F
Sng6vJvdZgDleqoNp6lYM1u3Zpiq8MGQbc03nMtJsUo;2008-03-17;2C;F
AavU8Egf3J-jhiX20dwccXvORoE9417YAf0y5IwuF8I;2009-12-29;3C;M
1ZCM-2DJ6rXJtJRgjT_ynhtCd230_rbyTx5PitDasxM;2008-11-13;2B;F
I6MokE805zSKX1H58zuYodJmll01pmxMTX-XBV7mxWI;2009-10-05;3B;M
JrgWOdZo-BkUNqoo4YReSlJYNZJrDQuFeO-r8tCsZFk;2011-12-30;5B;M
It2863qoLn0qOKjcS5lZp8VMyqyQDIlfCtjjdChG2ds;2008-05-28;nan;M
BAmvq6TFSLvMtVe0bEWWvzxHGYXDV6BccaTNRmaXzt0;2012-04-11;nan;M
g7uZngabPq0kzA9YJSphRUI6qHrMaDmtzV_cPUJfIiE;2013-11-27;nan;M
G8Ju-2Ifjp-GHD8sr7yFl_oW_GEedv3dVWTW2SrHKWQ;2007-11-07;1B/C;F
